지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(mm),소형일최대증발량(mm),대형총증발량(mm),대형일최대증발량(mm),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),최다풍향(16방위),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),최심적설(cm),최심신적설(cm),3시간신적설합(cm),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
273,문경,2016-01,-2.1,2.4,-6.1,11.9,-16.2,20160102,20160124,1002.9,1024.6,1033.9,1009,20160101,20160118,2.7,6.6,.5,20160103,20160124,-12.5,48,12,20160112,7.4,3.5,,,20160129,,,,,,,,,2.4,8.9,17.5,290,320,20160119,20160119,290,,,177.2,57.31,,,,,,,-8.9,-16.6,20160124,-.1,,,,,,,,,
273,문경,2016-02,.3,5.6,-4.5,13,-10.2,20160214,20160202,1002.5,1024,1035.9,999.4,20160225,20160214,3.1,12.8,.8,20160213,20160207,-11,46,10,20160207,42.6,19.5,,,20160212,,,,,,,,,2.4,7.8,16.2,290,320,20160215,20160215,290,,,190.7,60.58,,,,,,,-6.9,-13.2,20160203,2.6,,,,,,,,,
273,문경,2016-03,6.5,12.7,.4,21.4,-10,20160331,20160301,1000.4,1021.3,1030.1,1009.9,20160301,20160318,4.3,11.6,1,20160306,20160310,-6.1,46,8,20160317,42.1,27.5,,,20160305,,,,,,,,,1.9,6.6,12.4,320,320,20160309,20160309,290,,,198.8,53.5,,,,,,,-2,-13.4,20160301,9.2,,,,,,,,,
273,문경,2016-04,13.3,20.2,6.8,27,2.1,20160426,20160401,993.4,1013.6,1024.3,987.8,20160420,20160417,7.6,15.1,2,20160417,20160423,2.3,53,7,20160423,168,32,9,3.5,20160421,20160416,20160417,,,,,,,2.1,9.5,17.3,290,290,20160417,20160417,290,,,202.2,51.25,,,,,,,5.2,-1.5,20160401,16.1,,,,,,,,,
273,문경,2016-05,18,25.2,10.6,30,6.3,20160518,20160517,991.7,1011.6,1026.5,991.2,20160514,20160503,9.7,18.1,3.3,20160524,20160516,5.9,51,9,20160519,73,30,7,2,20160503,20160503,20160503,,,,,,,2,8.9,18,290,290,20160504,20160504,290,,,272.9,62.28,,,,,,,7.8,2.3,20160517,23.5,,,,,,,,,
273,문경,2016-06,22,27.8,16.8,31.3,9.3,20160618,20160602,988.4,1007.8,1015.4,995.3,20160606,20160624,15.9,23.2,6.9,20160624,20160602,13.5,62,19,20160602,49.5,38,10.5,2.5,20160624,20160624,20160624,,,,,,,1.6,6.4,10.5,290,270,20160617,20160625,290,,,183,41.67,,,,,,,14.8,5.6,20160602,28.6,,,,,,,,,
273,문경,2016-07,24.1,29.3,20.4,34.3,17.4,20160731,20160715,988.9,1008.2,1015.3,999,20160706,20160713,22.4,29.7,16.1,20160730,20160709,19.2,76,29,20160709,407.6,161,22.5,10,20160704,20160706,20160704,,,,,,,1.3,6.5,11,320,340,20160729,20160729,290,,,136.1,30.52,,,,,,,20,17.4,20160719,28.6,,,,,,,,,
273,문경,2016-08,25.3,31.7,20.3,36.3,12.3,20160812,20160827,986.7,1005.9,1013.1,988,20160827,20160831,20.8,34.4,9.8,20160803,20160824,17.8,66,18,20160824,51.7,22.5,6,1.5,20160826,20160826,20160831,,,,,,,1.6,6.5,13.3,110,320,20160808,20160831,290,,,240.3,57.31,,,,,,,19.2,11.7,20160827,32.9,,,,,,,,,
273,문경,2016-09,19.4,24.4,15.9,29.9,8.4,20160904,20160921,994.1,1013.8,1023.1,997.6,20160921,20160901,18,26.9,8.6,20160905,20160920,15.6,80,36,20160920,140.1,74,12.5,3.5,20160917,20160917,20160904,,,,,,,1.2,5.2,10.7,90,140,20160919,20160901,320,,,103.3,27.75,,,,,,,15.5,7,20160921,23.4,,,,,,,,,
273,문경,2016-10,13.5,19.1,9.4,28.1,.9,20161003,20161030,999.2,1019.5,1031.7,1004.3,20161030,20161005,11.7,25,2.2,20161003,20161030,8.6,75,13,20161030,122.2,29.5,8.5,3.5,20161005,20161008,20161003,,,,,,,1.4,6,11.5,290,340,20161031,20161009,290,,,122.6,35.16,,,,,,,7.6,-2.2,20161030,17.1,,,,,,,,,
