"Path","Modified","Size"
"\Q-GIS 발표 자료\동막천 자른 부분.dxf","2025-06-19 10:16:37","445732"
"\Q-GIS 발표 자료\등고선 dxf.dxf","2025-06-17 17:04:31","53282417"
"\Q-GIS 발표 자료\표고점.dxf","2025-06-18 16:36:44","1859632"
"\Q-GIS 발표 자료\DIDAS_설계도구\레이어 재투영_5174.cpg","2025-09-02 19:41:02","3"
"\Q-GIS 발표 자료\DIDAS_설계도구\레이어 재투영_5174.dbf","2025-09-02 19:41:02","373"
"\Q-GIS 발표 자료\DIDAS_설계도구\레이어 재투영_5174.prj","2025-09-02 19:41:02","455"
"\Q-GIS 발표 자료\DIDAS_설계도구\레이어 재투영_5174.shp","2025-09-02 19:41:02","6460"
"\Q-GIS 발표 자료\DIDAS_설계도구\레이어 재투영_5174.shx","2025-09-02 19:41:02","108"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구 유역계_5187.cpg","2025-09-02 19:40:15","3"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구 유역계_5187.dbf","2025-09-02 19:40:15","373"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구 유역계_5187.prj","2025-09-02 19:40:15","422"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구 유역계_5187.qmd","2025-09-02 19:40:15","1899"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구 유역계_5187.shp","2025-09-02 19:40:15","6460"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구 유역계_5187.shx","2025-09-02 19:40:15","108"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174.dxf","2025-09-02 19:41:31","20557"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174.qmd","2025-09-02 19:41:31","1991"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85.zip","2025-09-02 19:42:59","30480160"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\1_estate_list.xlsx","2025-09-02 19:42:14","323063"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\2_housing_complex.xlsx","2025-09-02 19:42:12","21952"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\3_industrial_complex.xlsx","2025-09-02 19:42:12","21554"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\main.dbf","2025-09-02 19:42:04","1030"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\main.dxf","2025-09-02 19:42:02","20557"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\main.shp","2025-09-02 19:42:04","4424"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\main.shx","2025-09-02 19:42:04","116"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\report.hwpx","2025-09-02 19:42:14","15097791"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_1_위치및면적_도로.cpg","2025-09-02 19:42:06","5"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_1_위치및면적_도로.dbf","2025-09-02 19:42:06","1968038"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_1_위치및면적_도로.prj","2025-09-02 19:42:06","455"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_1_위치및면적_도로.shp","2025-09-02 19:42:06","508372"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_1_위치및면적_도로.shx","2025-09-02 19:42:06","29140"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_1_위치및면적_행정경계.cpg","2025-09-02 19:42:06","5"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_1_위치및면적_행정경계.dbf","2025-09-02 19:42:06","792"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_1_위치및면적_행정경계.prj","2025-09-02 19:42:06","455"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_1_위치및면적_행정경계.shp","2025-09-02 19:42:06","318652"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_1_위치및면적_행정경계.shx","2025-09-02 19:42:06","124"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_1_임시.cpg","2025-09-02 19:42:06","5"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_1_임시.dbf","2025-09-02 19:42:06","1968038"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_1_임시.prj","2025-09-02 19:42:06","455"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_1_임시.shp","2025-09-02 19:42:06","508372"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_1_임시.shx","2025-09-02 19:42:06","29140"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_2_주변개발사업현황_도로.cpg","2025-09-02 19:42:06","5"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_2_주변개발사업현황_도로.dbf","2025-09-02 19:42:06","2116546"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_2_주변개발사업현황_도로.prj","2025-09-02 19:42:06","455"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_2_주변개발사업현황_도로.shp","2025-09-02 19:42:06","542244"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_2_주변개발사업현황_도로.shx","2025-09-02 19:42:06","31332"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_2_주변개발사업현황_산업단지.cpg","2025-09-02 19:42:06","5"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_2_주변개발사업현황_산업단지.dbf","2025-09-02 19:42:06","16838"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_2_주변개발사업현황_산업단지.prj","2025-09-02 19:42:06","455"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_2_주변개발사업현황_산업단지.shp","2025-09-02 19:42:06","46176"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_2_주변개발사업현황_산업단지.shx","2025-09-02 19:42:06","196"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_2_주변개발사업현황_택지개발.cpg","2025-09-02 19:42:06","5"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_2_주변개발사업현황_택지개발.dbf","2025-09-02 19:42:06","4734"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_2_주변개발사업현황_택지개발.prj","2025-09-02 19:42:06","455"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_2_주변개발사업현황_택지개발.shp","2025-09-02 19:42:06","8708"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\1_2_주변개발사업현황_택지개발.shx","2025-09-02 19:42:06","132"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\2_1_표고분석.prj","2025-09-02 19:42:08","603"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\2_1_표고분석.tif","2025-09-02 19:42:08","991843"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\2_1_표고분석_구역계내.cpg","2025-09-02 19:42:08","5"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\2_1_표고분석_구역계내.dbf","2025-09-02 19:42:08","306"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\2_1_표고분석_구역계내.prj","2025-09-02 19:42:08","455"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\2_1_표고분석_구역계내.shp","2025-09-02 19:42:08","46420"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\2_1_표고분석_구역계내.shx","2025-09-02 19:42:08","292"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\2_1_표고분석_구역계내.tif","2025-09-02 19:42:08","109955"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\2_2_1_경사분석.prj","2025-09-02 19:42:08","603"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\2_2_1_경사분석.tif","2025-09-02 19:42:08","1083610"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\2_2_1_경사분석_경사도.tif","2025-09-02 19:42:08","539968"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\2_2_1_경사분석_구역계내.cpg","2025-09-02 19:42:08","5"
"\Q-GIS 발표 자료\DIDAS_설계도구\막곡지구_5174_qovudrkd85\data\2_2_1_경사분석_구역계내.dbf","2025-09-02 19:42:08","17706"
